Run Name,20220915_10300_dsnPPR10_1Cy3_2AF_30delay
Run Date,07:31:37 PM   09-16-22
Method Name,0.75ml/min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  931
Points/Second, 1.00
Number of Records,   2159
Offset from Run Start Time,00:00:00
Run End Time,00:35:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,Tube Number
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,Volume,Fraction
     0.0,-0.000290,-0.000196,0.000089,-0.001353,  17.977,     0.0,0
     1.0,-0.000279,-0.000188,0.000220,-0.002130,  17.985,     0.0,0
     2.0,-0.000259,0.000000,0.000267,-0.001794,  17.974,     0.0,0
     3.0,0.000000,0.000024,-0.034661,-0.001457,  17.980,     0.0,0
     4.0,0.000000,0.000007,-0.000087,-0.000267,  17.975,     0.1,0
     5.0,0.000010,0.000003,-0.000044,-0.000756,  17.980,     0.1,0
     6.0,0.000015,0.000003,0.000090,-0.001024,  17.975,     0.1,0
     7.0,0.000020,-0.000013,-0.000044,-0.001187,  17.968,     0.1,0
     8.0,0.000020,-0.000037,0.000090,-0.001015,  17.970,     0.1,0
     9.0,0.000010,-0.000029,0.000003,-0.001110,  17.975,     0.1,0
    10.0,-0.000020,-0.000021,-0.000044,-0.000938,  17.972,     0.1,0
    11.0,-0.000010,-0.000013,0.000090,-0.001101,  17.972,     0.1,0
    12.0,-0.000020,-0.000021,0.000046,-0.000938,  17.968,     0.2,0
    13.0,-0.000025,-0.000032,0.000093,-0.000938,  17.968,     0.2,0
    14.0,-0.000005,-0.000032,0.000093,-0.001015,  17.969,     0.2,0
    15.0,-0.000015,-0.000021,0.000003,-0.001187,  17.970,     0.2,0
    16.0,-0.000025,-0.000029,-0.000044,-0.001196,  17.966,     0.2,0
    17.0,-0.000015,-0.000013,-0.000044,-0.001015,  17.962,     0.2,0
    18.0,0.000000,-0.000029,-0.000134,-0.001024,  17.962,     0.2,0
    19.0,0.000000,-0.000021,-0.000087,-0.001101,  17.957,     0.2,0
    20.0,-0.000005,-0.000024,-0.000134,-0.001101,  17.957,     0.3,0
    21.0,0.000000,-0.000009,-0.000134,-0.001101,  17.959,     0.3,0
    22.0,-0.000031,-0.000009,-0.000087,-0.001006,  17.954,     0.3,0
    23.0,-0.000026,-0.000009,-0.000178,-0.001101,  17.956,     0.3,0
    24.0,-0.000010,-0.000029,-0.000090,-0.001101,  17.952,     0.3,0
    25.0,0.000005,-0.000037,-0.000087,-0.001110,  17.952,     0.3,0
    26.0,-0.000005,-0.000017,-0.000087,-0.001187,  17.946,     0.3,0
    27.0,-0.000015,-0.000020,-0.000134,-0.001101,  17.940,     0.3,0
    28.0,-0.000005,-0.000008,-0.000131,-0.001196,  17.946,     0.3,0
    29.0,0.000000,-0.000028,-0.000087,-0.001446,  17.944,     0.4,0
    30.0,-0.000010,-0.000032,-0.000178,-0.001360,  17.940,     0.4,0
    31.0,-0.000020,-0.000048,-0.000131,-0.001273,  17.944,     0.4,0
    32.0,-0.000030,-0.000048,-0.000085,-0.001446,  17.939,     0.4,0
    33.0,-0.000005,-0.000024,-0.000041,-0.001360,  17.942,     0.4,0
    34.0,-0.000015,-0.000044,-0.000085,-0.001282,  17.940,     0.4,0
    35.0,-0.000010,-0.000044,-0.000131,-0.001273,  17.947,     0.4,0
    36.0,-0.000025,-0.000048,-0.000131,-0.001446,  17.945,     0.4,0
    37.0,-0.000020,-0.000044,-0.000041,-0.001369,  17.948,     0.5,0
    38.0,-0.000015,-0.000028,-0.000131,-0.001282,  17.944,     0.5,0
    39.0,-0.000010,-0.000028,-0.000175,-0.001092,  17.944,     0.5,0
    40.0,-0.000005,-0.000032,-0.000085,-0.001169,  17.948,     0.5,0
    41.0,-0.000010,-0.000032,0.000003,-0.001264,  17.948,     0.5,0
    42.0,-0.000020,-0.000056,0.000003,-0.001360,  17.943,     0.5,0
    43.0,-0.000005,-0.000032,-0.000085,-0.001083,  17.948,     0.5,0
    44.0,-0.000015,-0.000052,-0.000131,-0.001360,  17.943,     0.6,0
    45.0,-0.000031,-0.000048,-0.000131,-0.001187,  17.942,     0.6,0
    46.0,-0.000010,-0.000060,0.000093,-0.001282,  17.938,     0.6,0
    47.0,-0.000015,-0.000052,0.000049,-0.001464,  17.934,     0.6,0
    48.0,-0.000036,-0.000040,0.000006,-0.001705,  17.928,     0.6,0
    49.0,-0.000036,-0.000056,-0.000038,-0.001791,  17.930,     0.6,0
    50.0,-0.000031,-0.000068,-0.000087,-0.001446,  17.937,     0.6,0
    51.0,-0.000031,-0.000052,-0.000178,-0.001015,  17.938,     0.6,0
    52.0,-0.000052,-0.000060,-0.000265,-0.001273,  17.935,     0.6,0
    53.0,-0.000031,-0.000076,-0.000221,-0.001196,  17.941,     0.7,0
    54.0,-0.000051,-0.000076,-0.000175,-0.001273,  17.944,     0.7,0
    55.0,-0.000036,-0.000060,-0.000175,-0.001273,  17.943,     0.7,0
    56.0,-0.000041,-0.000068,-0.000221,-0.001273,  17.940,     0.7,0
    57.0,-0.000031,-0.000060,-0.000178,-0.001351,  17.949,     0.7,0
    58.0,-0.000031,-0.000064,-0.000085,-0.001523,  17.939,     0.7,0
    59.0,-0.000030,-0.000072,-0.000087,-0.001455,  17.950,     0.7,0
    60.0,-0.000035,-0.000048,-0.000218,-0.001360,  17.948,     0.8,0
    61.0,-0.000071,0.000230,-0.000172,-0.001532,  17.949,     0.8,0
    62.0,-0.000025,0.000132,-0.000131,-0.001351,  17.946,     0.8,0
    63.0,0.000159,-0.000006,-0.000085,-0.001178,  17.948,     0.8,0
    64.0,0.000099,-0.000041,-0.000172,-0.001273,  17.948,     0.8,0
    65.0,0.000009,-0.000049,-0.000262,-0.001455,  17.953,     0.8,0
    66.0,-0.000026,-0.000057,-0.000309,-0.001273,  17.954,     0.8,0
    67.0,-0.000036,-0.000060,-0.000262,-0.001282,  17.955,     0.8,0
    68.0,-0.000051,-0.000052,-0.000265,-0.001282,  17.962,     0.9,0
    69.0,-0.000040,-0.000044,-0.000265,-0.001446,  17.958,     0.9,0
    70.0,-0.000040,-0.000044,-0.000128,-0.001446,  17.959,     0.9,0
    71.0,-0.000046,-0.000071,-0.000175,-0.001351,  17.962,     0.9,0
    72.0,-0.000045,-0.000071,-0.000175,-0.001360,  17.949,     0.9,0
    73.0,-0.000050,-0.000096,-0.000175,-0.001273,  17.956,     0.9,0
    74.0,-0.000051,-0.000096,-0.000172,-0.001360,  17.955,     0.9,0
    75.0,-0.000061,-0.000095,-0.000128,-0.001360,  17.948,     0.9,0
    76.0,-0.000071,-0.000096,-0.000085,-0.001446,  17.949,     0.9,0
    77.0,-0.000066,-0.000091,-0.000265,-0.001523,  17.939,     1.0,0
    78.0,-0.000061,-0.000071,-0.000265,-0.001523,  17.946,     1.0,0
    79.0,-0.000076,-0.000075,-0.000265,-0.001351,  17.949,     1.0,0
    80.0,-0.000077,-0.000083,-0.000128,-0.001619,  17.939,     1.0,0
    81.0,-0.000071,-0.000088,-0.000041,-0.001619,  17.944,     1.0,0
    82.0,-0.000086,-0.000091,-0.000041,-0.001705,  17.935,     1.0,0
    83.0,-0.000091,-0.000083,-0.000085,-0.001360,  17.932,     1.0,0
    84.0,-0.000091,-0.000091,-0.000085,-0.001360,  17.931,     1.1,0
    85.0,-0.000076,-0.000071,-0.000175,-0.001437,  17.923,     1.1,0
    86.0,-0.000071,-0.000071,-0.000218,-0.001782,  17.927,     1.1,0
    87.0,-0.000081,-0.000079,-0.000175,-0.001446,  17.930,     1.1,0
    88.0,-0.000071,-0.000088,-0.000131,-0.001101,  17.926,     1.1,0
    89.0,-0.000076,-0.000075,-0.000128,-0.001446,  17.926,     1.1,0
    90.0,-0.000056,-0.000084,-0.000175,-0.001791,  17.926,     1.1,0
    91.0,-0.000077,-0.000095,-0.000221,-0.001705,  17.924,     1.1,0
    92.0,-0.000062,-0.000092,-0.000218,-0.001532,  17.924,     1.2,0
    93.0,-0.000066,-0.000108,-0.000175,-0.001437,  17.930,     1.2,0
    94.0,-0.000082,-0.000080,-0.000175,-0.001523,  17.930,     1.2,0
    95.0,-0.000062,-0.000072,-0.000175,-0.001428,  17.935,     1.2,0
    96.0,-0.000077,-0.000092,-0.000131,-0.001523,  17.936,     1.2,0
    97.0,-0.000062,-0.000088,-0.000218,-0.002059,  17.937,     1.2,0
    98.0,-0.000072,-0.000088,-0.000218,-0.001964,  17.941,     1.2,0
    99.0,-0.000067,-0.000080,-0.000131,-0.001523,  17.941,     1.2,0
   100.0,-0.000077,-0.000096,-0.000175,-0.001532,  17.948,     1.3,0
   101.0,-0.000067,-0.000096,-0.000085,-0.001532,  17.943,     1.3,0
   102.0,-0.000072,-0.000084,-0.000087,-0.001619,  17.951,     1.3,0
   103.0,-0.000062,-0.000072,-0.000218,-0.001187,  17.950,     1.3,0
   104.0,-0.000072,-0.000076,-0.000218,-0.001619,  17.956,     1.3,0
   105.0,-0.000067,-0.000060,-0.000265,-0.001714,  17.957,     1.3,0
   106.0,-0.000062,-0.000060,-0.000131,-0.001601,  17.959,     1.3,0
   107.0,-0.000052,-0.000072,-0.000175,-0.001437,  17.962,     1.3,0
   108.0,-0.000057,-0.000081,-0.000265,-0.001015,  17.953,     1.4,0
   109.0,-0.000052,-0.000088,-0.000175,-0.001273,  17.961,     1.4,0
   110.0,-0.000062,-0.000068,-0.000041,-0.001532,  17.954,     1.4,0
   111.0,-0.000077,-0.000072,-0.000087,-0.001187,  17.959,     1.4,0
   112.0,-0.000066,-0.000084,-0.000175,-0.001446,  17.959,     1.4,0
   113.0,-0.000077,-0.000104,-0.000131,-0.001360,  17.961,     1.4,0
   114.0,-0.000092,-0.000100,-0.000131,-0.001187,  17.950,     1.4,0
   115.0,-0.000087,-0.000108,-0.000175,-0.001619,  17.949,     1.4,0
   116.0,-0.000097,-0.000096,-0.000085,-0.001628,  17.953,     1.5,0
   117.0,-0.000077,-0.000100,-0.000175,-0.001437,  17.949,     1.5,0
   118.0,-0.000092,-0.000100,-0.000175,-0.001264,  17.947,     1.5,0
   119.0,-0.000077,-0.000096,-0.000131,-0.001282,  17.944,     1.5,0
   120.0,-0.000067,-0.000080,-0.000178,-0.001360,  17.939,     1.5,0
   121.0,-0.000082,-0.000080,-0.000175,-0.001869,  17.940,     1.5,0
   122.0,-0.000072,-0.000088,-0.000175,-0.001601,  17.942,     1.5,0
   123.0,-0.000093,-0.000088,-0.000221,-0.001437,  17.939,     1.5,0
   124.0,-0.000087,-0.000092,-0.000175,-0.001437,  17.937,     1.6,0
   125.0,-0.000077,-0.000088,-0.000218,-0.001687,  17.939,     1.6,0
   126.0,-0.000077,-0.000092,-0.000175,-0.001601,  17.938,     1.6,0
   127.0,-0.000066,-0.000084,-0.000085,-0.001687,  17.940,     1.6,0
   128.0,-0.000077,-0.000088,-0.000128,-0.001619,  17.938,     1.6,0
   129.0,-0.000072,-0.000096,-0.000175,-0.001705,  17.937,     1.6,0
   130.0,-0.000062,-0.000084,-0.000175,-0.001696,  17.937,     1.6,0
   131.0,-0.000072,-0.000084,-0.000175,-0.001687,  17.931,     1.6,0
   132.0,-0.000073,-0.000068,-0.000221,-0.001178,  17.935,     1.7,0
   133.0,-0.000057,-0.000076,-0.000175,-0.001446,  17.933,     1.7,0
   134.0,-0.000067,-0.000084,-0.000175,-0.001264,  17.933,     1.7,0
   135.0,-0.000078,-0.000096,-0.000175,-0.001351,  17.934,     1.7,0
   136.0,-0.000078,-0.000105,-0.000265,-0.001351,  17.935,     1.7,0
   137.0,-0.000088,-0.000073,-0.000221,-0.001264,  17.933,     1.7,0
   138.0,-0.000078,-0.000085,-0.000085,-0.001360,  17.933,     1.7,0
   139.0,-0.000083,-0.000092,-0.000085,-0.002050,  17.925,     1.7,0
   140.0,-0.000088,-0.000080,-0.000041,-0.001446,  17.935,     1.8,0
   141.0,-0.000078,-0.000084,-0.000085,-0.001532,  17.935,     1.8,0
   142.0,-0.000088,-0.000104,-0.000265,-0.001532,  17.937,     1.8,0
   143.0,-0.000078,-0.000104,-0.000221,-0.001342,  17.937,     1.8,0
   144.0,-0.000077,-0.000108,-0.000175,-0.001264,  17.934,     1.8,0
   145.0,-0.000087,-0.000116,-0.000087,-0.001437,  17.935,     1.8,0
   146.0,-0.000067,-0.000108,-0.000221,-0.001628,  17.935,     1.8,0
   147.0,-0.000057,-0.000120,-0.000175,-0.001628,  17.935,     1.8,0
   148.0,-0.000077,-0.000112,-0.000175,-0.001446,  17.938,     1.9,0
   149.0,-0.000098,-0.000120,-0.000131,-0.001532,  17.942,     1.9,0
   150.0,-0.000103,-0.000112,-0.000085,-0.001187,  17.945,     1.9,0
   151.0,-0.000093,-0.000116,-0.000131,-0.001619,  17.947,     1.9,0
   152.0,-0.000088,-0.000116,-0.000265,-0.001851,  17.949,     1.9,0
   153.0,-0.000093,-0.000128,-0.000175,-0.001523,  17.953,     1.9,0
   154.0,-0.000103,-0.000100,-0.000131,-0.001532,  17.952,     1.9,0
   155.0,-0.000093,-0.000104,-0.000221,-0.001532,  17.951,     1.9,0
   156.0,-0.000083,-0.000112,-0.000175,-0.001800,  17.962,     2.0,0
   157.0,-0.000088,-0.000128,-0.000085,-0.001878,  17.956,     2.0,0
   158.0,-0.000098,-0.000120,-0.000131,-0.001791,  17.962,     2.0,0
   159.0,-0.000103,-0.000140,-0.000175,-0.001636,  17.960,     2.0,0
   160.0,-0.000098,-0.000127,-0.000221,-0.001619,  17.957,     2.0,0
   161.0,-0.000093,-0.000120,-0.000221,-0.001446,  17.951,     2.0,0
   162.0,-0.000093,-0.000124,-0.000218,-0.001282,  17.952,     2.0,0
   163.0,-0.000083,-0.000128,-0.000175,-0.001264,  17.954,     2.0,0
   164.0,-0.000093,-0.000131,-0.000265,-0.001619,  17.948,     2.0,0
   165.0,-0.000088,-0.000131,-0.000131,-0.001705,  17.943,     2.1,0
   166.0,-0.000098,-0.000127,-0.000087,-0.001964,  17.950,     2.1,0
   167.0,-0.000134,-0.000115,-0.000175,-0.001360,  17.954,     2.1,0
   168.0,-0.000119,-0.000127,-0.000218,-0.001628,  17.947,     2.1,0
   169.0,-0.000113,-0.000131,-0.000175,-0.001455,  17.950,     2.1,0
   170.0,-0.000123,-0.000115,-0.000218,-0.001187,  17.946,     2.1,0
   171.0,-0.000113,-0.000128,-0.000175,-0.001351,  17.943,     2.1,0
   172.0,-0.000103,-0.000132,-0.000311,-0.001705,  17.941,     2.2,0
   173.0,-0.000103,-0.000139,-0.000355,-0.001601,  17.948,     2.2,0
   174.0,-0.000118,-0.000131,-0.000175,-0.001955,  17.949,     2.2,0
   175.0,-0.000108,-0.000131,-0.000221,-0.001791,  17.949,     2.2,0
   176.0,-0.000108,-0.000147,-0.000311,-0.001705,  17.953,     2.2,0
   177.0,-0.000113,-0.000151,-0.000265,-0.001791,  17.951,     2.2,0
   178.0,-0.000113,-0.000152,-0.000311,-0.001800,  17.948,     2.2,0
   179.0,-0.000119,-0.000038,-0.000265,-0.001791,  17.944,     2.2,0
   180.0,-0.000108,-0.000101,-0.000218,-0.001800,  17.946,     2.3,0
   181.0,0.000071,-0.000156,-0.000178,-0.001446,  17.948,     2.3,0
   182.0,-0.000004,-0.000155,-0.000175,-0.001878,  17.947,     2.3,0
   183.0,-0.000073,-0.000151,-0.000175,-0.001714,  17.947,     2.3,0
   184.0,-0.000078,-0.000163,-0.000221,-0.001532,  17.945,     2.3,0
   185.0,-0.000114,-0.000163,-0.000131,-0.001878,  17.948,     2.3,0
   186.0,-0.000129,-0.000155,-0.000175,-0.001791,  17.939,     2.3,0
   187.0,-0.000098,-0.000156,-0.000178,-0.001619,  17.948,     2.3,0
   188.0,-0.000124,-0.000147,-0.000131,-0.001360,  17.939,     2.4,0
   189.0,-0.000140,-0.000159,-0.000175,-0.001446,  17.946,     2.4,0
   190.0,-0.000114,-0.000163,-0.000221,-0.001619,  17.942,     2.4,0
   191.0,-0.000119,-0.000159,-0.000265,-0.001360,  17.945,     2.4,0
   192.0,-0.000119,-0.000151,-0.000265,-0.001791,  17.940,     2.4,0
   193.0,-0.000129,-0.000151,-0.000265,-0.001446,  17.940,     2.4,0
   194.0,-0.000114,-0.000159,-0.000221,-0.001705,  17.926,     2.4,0
   195.0,-0.000119,-0.000152,-0.000175,-0.001696,  17.937,     2.4,0
   196.0,-0.000093,-0.000159,-0.000221,-0.001696,  17.935,     2.5,0
   197.0,-0.000103,-0.000155,-0.000265,-0.001619,  17.935,     2.5,0
   198.0,-0.000114,-0.000167,-0.000218,-0.001455,  17.930,     2.5,0
   199.0,-0.000114,-0.000155,-0.000221,-0.001541,  17.928,     2.5,0
   200.0,-0.000135,-0.000151,-0.000265,-0.001619,  17.933,     2.5,0
   201.0,-0.000140,-0.000159,-0.000175,-0.001351,  17.930,     2.5,0
   202.0,-0.000135,-0.000151,-0.000178,-0.002119,  17.931,     2.5,0
   203.0,-0.000124,-0.000155,-0.000221,-0.001514,  17.933,     2.5,0
   204.0,-0.000140,-0.000143,-0.000175,-0.001428,  17.931,     2.5,0
   205.0,-0.000119,-0.000167,-0.000178,-0.001437,  17.933,     2.6,0
   206.0,-0.000114,-0.000163,-0.000221,-0.001782,  17.930,     2.6,0
   207.0,-0.000129,-0.000175,-0.000221,-0.001437,  17.923,     2.6,0
   208.0,-0.000145,-0.000175,-0.000131,-0.001351,  17.937,     2.6,0
   209.0,-0.000139,-0.000171,-0.000309,-0.001696,  17.938,     2.6,0
   210.0,-0.000150,-0.000191,-0.000221,-0.001687,  17.934,     2.6,0
   211.0,-0.000145,-0.000207,-0.000265,-0.001782,  17.934,     2.6,0
   212.0,-0.000139,-0.000203,-0.000355,-0.001791,  17.932,     2.7,0
   213.0,-0.000129,-0.000191,-0.000221,-0.001791,  17.937,     2.7,0
   214.0,-0.000150,-0.000195,-0.000175,-0.001455,  17.932,     2.7,0
   215.0,-0.000139,-0.000183,-0.000355,-0.001187,  17.933,     2.7,0
   216.0,-0.000150,-0.000183,-0.000221,-0.001791,  17.932,     2.7,0
   217.0,-0.000139,-0.000175,-0.000175,-0.001964,  17.935,     2.7,0
   218.0,-0.000139,-0.000183,-0.000131,-0.001791,  17.934,     2.7,0
   219.0,-0.000139,-0.000187,-0.000221,-0.001619,  17.929,     2.7,0
   220.0,-0.000145,-0.000187,-0.000265,-0.001714,  17.933,     2.8,0
   221.0,-0.000150,-0.000187,-0.000131,-0.001619,  17.923,     2.8,0
   222.0,-0.000134,-0.000171,-0.000221,-0.001187,  17.932,     2.8,0
   223.0,-0.000134,-0.000179,-0.000175,-0.001446,  17.931,     2.8,0
   224.0,-0.000114,-0.000171,-0.000131,-0.001619,  17.932,     2.8,0
   225.0,-0.000150,-0.000187,-0.000221,-0.001791,  17.931,     2.8,0
   226.0,-0.000140,-0.000175,-0.000265,-0.001532,  17.931,     2.8,0
   227.0,-0.000150,-0.000159,-0.000221,-0.001791,  17.935,     2.8,0
   228.0,-0.000125,-0.000151,-0.000221,-0.002137,  17.936,     2.9,0
   229.0,-0.000125,-0.000159,-0.000175,-0.001791,  17.939,     2.9,0
   230.0,-0.000119,-0.000167,-0.000087,-0.001705,  17.937,     2.9,0
   231.0,-0.000119,-0.000179,-0.000221,-0.001360,  17.937,     2.9,0
   232.0,-0.000145,-0.000187,-0.000131,-0.001541,  17.944,     2.9,0
   233.0,-0.000140,-0.000171,-0.000221,-0.001619,  17.942,     2.9,0
   234.0,-0.000130,-0.000175,-0.000268,-0.001351,  17.940,     2.9,0
   235.0,-0.000135,-0.000167,-0.000131,-0.001428,  17.943,     2.9,0
   236.0,-0.000160,-0.000175,-0.000268,-0.001446,  17.940,     3.0,0
   237.0,-0.000150,-0.000167,-0.000178,-0.001791,  17.948,     3.0,0
   238.0,-0.000140,-0.000179,-0.000175,-0.001878,  17.940,     3.0,0
   239.0,-0.000140,-0.000203,-0.000178,-0.001705,  17.947,     3.0,0
   240.0,-0.000130,-0.000207,-0.000131,-0.001532,  17.939,     3.0,0
   241.0,-0.000135,-0.000179,-0.000265,-0.001619,  17.942,     3.0,0
   242.0,-0.000145,-0.000200,-0.000355,-0.001532,  17.935,     3.0,0
   243.0,-0.000150,-0.000195,-0.000355,-0.001523,  17.942,     3.0,0
   244.0,-0.000145,-0.000215,-0.000265,-0.001705,  17.938,     3.0,0
   245.0,-0.000161,-0.000207,-0.000311,-0.001619,  17.926,     3.1,0
   246.0,-0.000160,-0.000191,-0.000355,-0.001705,  17.932,     3.1,0
   247.0,-0.000145,-0.000187,-0.000265,-0.001791,  17.936,     3.1,0
   248.0,-0.000150,-0.000183,-0.000265,-0.001791,  17.931,     3.1,0
   249.0,-0.000120,-0.000187,-0.000175,-0.001360,  17.935,     3.1,0
   250.0,-0.000129,-0.000191,-0.000218,-0.001705,  17.921,     3.1,0
   251.0,-0.000140,-0.000195,-0.000221,-0.001619,  17.932,     3.1,0
   252.0,-0.000140,-0.000207,-0.000265,-0.001791,  17.928,     3.2,0
   253.0,-0.000145,-0.000176,-0.000175,-0.001878,  17.927,     3.2,0
   254.0,-0.000155,-0.000179,-0.000221,-0.001619,  17.931,     3.2,0
   255.0,-0.000145,-0.000191,-0.000265,-0.001705,  17.934,     3.2,0
   256.0,-0.000150,-0.000187,-0.000175,-0.001628,  17.923,     3.2,0
   257.0,-0.000150,-0.000191,-0.000221,-0.002128,  17.932,     3.2,0
   258.0,-0.000145,-0.000183,-0.000221,-0.001791,  17.929,     3.2,0
   259.0,-0.000145,-0.000175,-0.000175,-0.001714,  17.927,     3.2,0
   260.0,-0.000150,-0.000211,-0.000178,-0.001523,  17.920,     3.3,0
   261.0,-0.000145,-0.000207,-0.000309,-0.001610,  17.929,     3.3,0
   262.0,-0.000151,-0.000199,-0.000221,-0.001523,  17.923,     3.3,0
   263.0,-0.000156,-0.000195,-0.000131,-0.001696,  17.928,     3.3,0
   264.0,-0.000146,-0.000195,-0.000265,-0.001696,  17.927,     3.3,0
   265.0,-0.000151,-0.000183,-0.000221,-0.001610,  17.928,     3.3,0
   266.0,-0.000120,-0.000190,-0.000085,-0.001878,  17.930,     3.3,0
   267.0,-0.000135,-0.000183,-0.000265,-0.001964,  17.929,     3.3,0
   268.0,-0.000135,-0.000179,-0.000221,-0.001705,  17.931,     3.4,0
   269.0,-0.000145,-0.000207,-0.000265,-0.001619,  17.935,     3.4,0
   270.0,-0.000145,-0.000195,-0.000355,-0.002128,  17.931,     3.4,0
   271.0,-0.000140,-0.000183,-0.000265,-0.001619,  17.933,     3.4,0
   272.0,-0.000150,-0.000191,-0.000265,-0.001705,  17.937,     3.4,0
   273.0,-0.000160,-0.000187,-0.000265,-0.001523,  17.929,     3.4,0
   274.0,-0.000166,-0.000199,-0.000221,-0.001523,  17.936,     3.4,0
   275.0,-0.000156,-0.000191,-0.000175,-0.001610,  17.926,     3.4,0
   276.0,-0.000156,-0.000187,-0.000087,-0.001187,  17.936,     3.5,0
   277.0,-0.000182,-0.000183,-0.000221,-0.001532,  17.934,     3.5,0
   278.0,-0.000156,-0.000191,-0.000175,-0.001446,  17.933,     3.5,0
   279.0,-0.000146,-0.000187,-0.000221,-0.001532,  17.937,     3.5,0
   280.0,-0.000156,-0.000195,-0.000221,-0.001273,  17.937,     3.5,0
   281.0,-0.000151,-0.000211,-0.000221,-0.001619,  17.936,     3.5,0
   282.0,-0.000145,-0.000207,-0.000265,-0.001705,  17.931,     3.5,0
   283.0,-0.000151,-0.000187,-0.000221,-0.001696,  17.938,     3.5,0
   284.0,-0.000146,-0.000199,-0.000221,-0.001360,  17.936,     3.5,0
   285.0,-0.000140,-0.000191,-0.000221,-0.001360,  17.937,     3.6,0
   286.0,-0.000146,-0.000179,-0.000355,-0.001705,  17.938,     3.6,0
   287.0,-0.000162,-0.000192,-0.000265,-0.001532,  17.934,     3.6,0
   288.0,-0.000151,-0.000184,-0.000178,-0.001446,  17.934,     3.6,0
   289.0,-0.000162,-0.000171,-0.000268,-0.001360,  17.934,     3.6,0
   290.0,-0.000156,-0.000199,-0.000087,-0.001360,  17.938,     3.6,0
   291.0,-0.000131,-0.000180,-0.000087,-0.001705,  17.939,     3.6,0
   292.0,-0.000141,-0.000176,-0.000087,-0.001610,  17.933,     3.7,0
   293.0,-0.000136,-0.000192,-0.000087,-0.001523,  17.940,     3.7,0
   294.0,-0.000146,-0.000191,-0.000087,-0.001532,  17.940,     3.7,0
   295.0,-0.000152,-0.000184,-0.000087,-0.001705,  17.940,     3.7,0
   296.0,-0.000141,-0.000179,-0.000041,-0.001351,  17.940,     3.7,0
   297.0,-0.000147,-0.000192,-0.000087,-0.001342,  17.942,     3.7,0
   298.0,-0.000141,-0.000195,-0.000087,-0.001687,  17.938,     3.7,0
   299.0,-0.000126,-0.000195,-0.000131,-0.001601,  17.941,     3.7,0
   300.0,-0.000147,-0.000195,-0.000178,-0.001523,  17.940,     3.8,0
   301.0,-0.000151,-0.000200,-0.000087,-0.001532,  17.939,     3.8,0
   302.0,-0.000156,-0.000196,-0.000221,-0.001514,  17.924,     3.8,0
   303.0,-0.000172,-0.000188,-0.000268,-0.001532,  17.929,     3.8,0
   304.0,-0.000120,-0.000179,-0.000311,-0.001791,  17.935,     3.8,0
   305.0,-0.000131,-0.000179,-0.000178,-0.001514,  17.935,     3.8,0
   306.0,-0.000136,-0.000183,-0.000224,-0.001610,  17.940,     3.8,0
   307.0,-0.000141,-0.000175,-0.000268,-0.001610,  17.936,     3.8,0
   308.0,-0.000146,-0.000184,-0.000087,-0.001342,  17.934,     3.9,0
   309.0,-0.000152,-0.000184,-0.000134,-0.001360,  17.934,     3.9,0
   310.0,-0.000141,-0.000180,-0.000044,-0.001187,  17.933,     3.9,0
   311.0,-0.000136,-0.000176,-0.000087,-0.001455,  17.928,     3.9,0
   312.0,-0.000147,-0.000192,-0.000134,-0.001360,  17.933,     3.9,0
   313.0,-0.000132,-0.000184,-0.000221,-0.001092,  17.934,     3.9,0
   314.0,-0.000132,-0.000172,-0.000087,-0.001101,  17.933,     3.9,0
   315.0,-0.000137,-0.000180,-0.000134,-0.001187,  17.935,     3.9,0
   316.0,-0.000147,-0.000196,-0.000134,-0.001360,  17.928,     4.0,0
   317.0,-0.000136,-0.000184,-0.000044,-0.001101,  17.931,     4.0,0
   318.0,-0.000121,-0.000191,-0.000134,-0.000929,  17.925,     4.0,0
   319.0,-0.000136,-0.000199,-0.000090,-0.001360,  17.923,     4.0,0
   320.0,-0.000141,-0.000208,-0.000087,-0.001264,  17.918,     4.0,0
   321.0,-0.000146,-0.000212,-0.000180,-0.001782,  17.902,     4.0,0
   322.0,-0.000142,-0.000204,-0.000180,-0.001273,  17.915,     4.0,0
   323.0,-0.000157,-0.000196,-0.000178,-0.001619,  17.915,     4.0,0
   324.0,-0.000147,-0.000188,-0.000134,-0.001015,  17.918,     4.1,0
   325.0,-0.000146,-0.000200,-0.000224,-0.001264,  17.920,     4.1,0
   326.0,-0.000147,-0.000212,-0.000134,-0.000997,  17.923,     4.1,0
   327.0,-0.000152,-0.000200,-0.000087,-0.001187,  17.928,     4.1,0
   328.0,-0.000157,-0.000204,-0.000268,-0.001360,  17.929,     4.1,0
   329.0,-0.000157,-0.000212,-0.000134,-0.001446,  17.931,     4.1,0
   330.0,-0.000147,-0.000208,-0.000087,-0.001273,  17.932,     4.1,0
   331.0,-0.000141,-0.000212,-0.000178,-0.001446,  17.932,     4.1,0
   332.0,-0.000162,-0.000196,-0.000090,-0.001101,  17.925,     4.2,0
